trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,True,"{'a': 0, 'e': 0}",20,11,16.19992595390432,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0, 'e': 0}",20,5,14.443780324103175,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0, 'e': 0}",25,11,25.213901305380404,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'a': 0, 'e': 0}",20,15,6.73316617617296,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0, 'e': 0}",30,17,20.569213831597427,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0, 'e': 0}",25,19,11.953465739410195,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0, 'e': 0}",20,2,28.00244328426183,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0, 'e': 0}",25,2,35.66734693129531,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0, 'e': 0}",20,0,25.901653701479354,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,True,"{'a': 0, 'e': 0}",20,13,14.127584665779004,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0, 'e': 0}",30,19,22.472571494076014,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0, 'e': 0}",25,17,14.419110257472042,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0, 'e': 0}",25,14,20.626532637248037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0, 'e': 0}",20,7,23.31623272093532,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",30,14,27.357937966433678,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0, 'e': 0}",25,14,21.16178413024439,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0, 'e': 0}",25,10,25.342420510818492,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0, 'e': 0}",20,14,11.943674657516397,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0, 'e': 0}",20,10,18.465690145927425,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0, 'e': 0}",20,8,23.06310228675874,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0, 'e': 0}",20,10,19.814866081831237,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0, 'e': 0}",20,12,17.395857107611032,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0, 'e': 0}",20,6,27.786965724278954,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0, 'e': 0}",25,0,34.340194103945116,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,True,"{'a': 0, 'e': 0}",30,15,24.94597092333882,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0, 'e': 0}",20,12,16.07069568569726,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0, 'e': 0}",25,12,26.484855012637553,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
